country_txt,attacks_total,cluster
Nigeria,5469,0
Democratic Republic of the Congo,1490,0
Sudan,992,0
Mali,976,0
Cameroon,860,0
Mozambique,565,0
Burkina Faso,392,0
Central African Republic,373,0
South Sudan,323,0
Niger,217,0
Uganda,202,0
Ethiopia,190,0
Chad,114,0
Angola,81,0
Ivory Coast,66,0
Senegal,50,0
West Bank and Gaza Strip,1606,1
United States,757,1
Greece,659,1
France,503,1
Germany,284,1
Chile,229,1
China,173,1
Sweden,98,1
Canada,83,1
Netherlands,71,1
Tanzania,64,1
Australia,52,1
Iraq,27360,2
Afghanistan,18796,2
Pakistan,13687,2
India,10887,2
Philippines,6283,2
Yemen,5920,2
Somalia,5148,2
Thailand,3975,2
Syria,2851,2
Colombia,2712,2
Libya,2491,2
Egypt,2179,2
Turkey,1996,2
Russia,1914,2
Ukraine,1792,2
Nepal,1508,2
Algeria,1360,2
United Kingdom,1340,2
Israel,1318,2
Bangladesh,1174,2
Sri Lanka,879,2
Kenya,772,2
Indonesia,638,2
Lebanon,636,2
Saudi Arabia,563,2
Myanmar,551,2
Spain,427,2
Burundi,388,2
South Africa,211,2
Mexico,196,2
Ireland,194,2
Iran,182,2
Bahrain,169,2
Kosovo,162,2
Italy,161,2
Tunisia,138,2
Georgia,114,2
Macedonia,106,2
Peru,88,2
Paraguay,87,2
Venezuela,83,2
Malaysia,72,2
Ecuador,55,2
